,MODZCTA,Positive,Total,zcta_cum.perc_pos,Zip Code,#,latitude,longitude,Population,Avg. Income/H/hold,National Rank
104,11219,1314,1908,68.87,11219,1508,40.632769,-73.996642,85987,26648,"#26,983"
105,11220,556,893,62.26,11220,1437,40.641307,-74.016251,92718,30152,"#23,452"
106,11221,462,779,59.31,11221,1542,40.69131,-73.927772,76363,22305,"#29,664"
107,11222,177,392,45.15,11222,1257,40.728367,-73.945427,39360,33578,"#19,069"
108,11223,618,1118,55.28,11223,1320,40.597427,-73.973039,77691,32104,"#20,837"
109,11224,296,534,55.43,11224,1551,40.577257,-73.989762,51205,21281,"#30,108"
110,11225,450,716,62.85,11225,1436,40.662236,-73.958951,63774,30192,"#23,403"
111,11226,639,1032,61.92,11226,1451,40.64643,-73.956866,106154,29498,"#24,156"
112,11228,229,421,54.39,11228,629,40.616863,-74.013196,41172,44932,"#8,418"
113,11229,565,1053,53.66,11229,973,40.601293,-73.944493,80554,37812,"#14,105"
114,11230,1054,1670,63.11,11230,1313,40.622104,-73.965118,88933,32327,"#20,516"
115,11231,191,394,48.48,11231,624,40.677916,-74.005154,32974,45154,"#8,286"
116,11232,193,304,63.49,11232,1474,40.655827,-74.006829,27723,28395,"#25,283"
117,11233,412,691,59.62,11233,1540,40.678089,-73.919867,61955,22754,"#29,457"
118,11234,759,1287,58.97,11234,443,40.61254,-73.894255,86898,51446,"#5,264"
119,11235,588,1111,52.93,11235,1390,40.583552,-73.9479,77451,31013,"#22,300"
120,11236,871,1376,63.3,11236,728,40.639761,-73.90064,96301,42370,"#9,991"
121,11237,320,485,65.98,11237,1538,40.70416,-73.921139,48910,23104,"#29,310"
122,11238,339,611,55.48,11238,856,40.678424,-73.963874,48965,39917,"#12,200"
123,11239,172,267,64.42,11239,1576,40.644728,-73.879186,14620,16919,"#31,156"
124,11357,323,570,56.67,11357,370,40.786415,-73.810924,39491,54910,"#4,168"
125,11355,412,653,63.09,11355,1025,40.750123,-73.820977,83281,36973,"#14,988"
126,11354,297,508,58.46,11354,1009,40.768208,-73.827403,54329,37155,"#14,769"
127,11356,205,378,54.23,11356,521,40.78481,-73.841165,20444,48738,"#6,440"
128,11358,205,407,50.37,11358,450,40.760467,-73.796418,38647,51242,"#5,380"
129,11360,118,265,44.53,11360,302,40.782352,-73.780749,19350,58803,"#3,221"
130,11361,178,318,55.97,11361,363,40.76437,-73.771869,29206,55250,"#4,084"
131,11362,124,257,48.25,11362,270,40.758401,-73.73342,17502,61053,"#2,759"
132,11363,52,114,45.61,11363,193,40.772591,-73.746472,6917,67550,"#1,801"
133,11364,196,360,54.44,11364,396,40.74562,-73.757537,34539,54031,"#4,407"
134,11365,313,557,56.19,11365,464,40.738856,-73.792528,41566,50744,"#5,583"
135,11366,196,314,62.42,11366,256,40.727929,-73.793074,13366,62325,"#2,498"
136,11367,485,776,62.5,11367,617,40.730621,-73.82286,38216,45285,"#8,214"
137,11368,1659,2132,77.81,11368,1172,40.749407,-73.85278,98841,34746,"#17,766"
138,11369,608,813,74.78,11369,855,40.763513,-73.871961,36110,39936,"#12,190"
139,11370,633,1089,58.13,11370,648,40.76537,-73.893132,43142,44429,"#8,688"
140,11372,916,1268,72.24,11372,899,40.751706,-73.883561,71308,39084,"#12,924"
141,11373,1142,1663,68.67,11373,945,40.737347,-73.878716,105723,38151,"#13,766"
142,11374,523,876,59.7,11374,807,40.726219,-73.861264,44189,40998,"#11,164"
143,11375,744,1359,54.75,11375,446,40.722975,-73.843179,70204,51350,"#5,312"
144,11377,736,1141,64.5,11377,992,40.744813,-73.905122,88339,37360,"#14,527"
145,11378,263,463,56.8,11378,690,40.724744,-73.909639,34053,43107,"#9,479"
146,11379,317,576,55.03,11379,509,40.715488,-73.87949,28984,49083,"#6,279"
147,11385,767,1311,58.5,11385,1061,40.700671,-73.889433,97524,36434,"#15,611"
148,11411,309,424,72.88,11411,257,40.694307,-73.735948,21282,62071,"#2,549"
149,11412,496,769,64.5,11412,528,40.696878,-73.76026,37452,48536,"#6,508"
150,11413,528,815,64.79,11413,335,40.669293,-73.750553,39827,56726,"#3,693"
151,11414,341,569,59.93,11414,451,40.658217,-73.84482,28121,51175,"#5,407"
152,11415,231,389,59.38,11415,615,40.708229,-73.827867,20956,45344,"#8,179"
153,11416,233,358,65.08,11416,873,40.684614,-73.849509,23668,39692,"#12,384"
154,11417,315,502,62.75,11417,705,40.676342,-73.844595,28607,42889,"#9,620"
155,11418,386,616,62.66,11418,811,40.700101,-73.835908,36571,40924,"#11,235"
156,11419,386,615,62.76,11419,692,40.688685,-73.822882,48867,43066,"#9,500"
157,11420,473,769,61.51,11420,543,40.673525,-73.817771,45498,47584,"#6,919"
158,11421,397,604,65.73,11421,642,40.693633,-73.858513,37664,44550,"#8,621"
159,11422,417,652,63.96,11422,307,40.63203,-73.766051,30449,58396,"#3,293"
160,11423,336,511,65.75,11423,597,40.717252,-73.768879,31240,46047,"#7,757"
161,11426,214,383,55.87,11426,312,40.736619,-73.72361,18727,58065,"#3,367"
162,11427,323,529,61.06,11427,447,40.729722,-73.7498,23014,51336,"#5,319"
163,11428,241,355,67.89,11428,364,40.72105,-73.742212,21023,55219,"#4,092"
164,11434,752,1139,66.02,11434,688,40.676808,-73.776425,59142,43133,"#9,448"
165,11432,590,911,64.76,11432,723,40.71522,-73.793188,57045,42414,"#9,954"
166,11433,308,481,64.03,11433,1338,40.698135,-73.787009,28435,31869,"#21,179"
167,11435,550,917,59.98,11435,846,40.701408,-73.809817,53877,40157,"#12,003"
168,11436,186,280,66.43,11436,844,40.675266,-73.79657,18148,40194,"#11,951"
169,11691,822,1226,67.05,11691,1486,40.600774,-73.757824,56184,27820,"#25,852"
170,11692,214,332,64.46,11692,1465,40.593163,-73.793803,15893,29059,"#24,616"
171,11693,147,242,60.74,11693,1000,40.611082,-73.822757,11157,37248,"#14,668"
172,11694,267,457,58.42,11694,526,40.576906,-73.846381,19278,48604,"#6,481"
173,11697,44,93,47.31,11697,304,40.555681,-73.920688,4226,58491,"#3,269"
