#,Zip Code,Location,City,Population,Avg. Income/H/hold,National Rank
134,11754,"40.886865, -73.245725","Kings Park, New York",18847,73269,"#1,234"
135,11741,"40.794354, -73.069968","Holbrook, New York",27857,72839,"#1,272"
136,11710,"40.675775, -73.535668","Bellmore, New York",34463,72813,"#1,273"
137,10965,"41.061482, -74.015910","Pearl River, New York",14522,72736,"#1,275"
138,11732,"40.852904, -73.537599","East Norwich, New York",3804,72609,"#1,285"
139,10507,"41.232590, -73.692641","Bedford Hills, New York",7646,72568,"#1,289"
140,10954,"41.099029, -74.012296","Nanuet, New York",23189,72476,"#1,291"
141,10023,"40.775394, -73.982197","New York, New York",62206,72424,"#1,297"
142,10708,"40.937467, -73.833144","Bronxville, New York",22411,72165,"#1,316"
143,10520,"41.217976, -73.874882","Croton On Hudson, New York",12590,72164,"#1,317"
144,11730,"40.720680, -73.172384","East Islip, New York",16050,72050,"#1,322"
145,12533,"41.561643, -73.787605","Hopewell Junction, New York",22254,71973,"#1,330"
146,11792,"40.946438, -72.835507","Wading River, New York",7156,71957,"#1,333"
147,14472,"42.973554, -77.576983","Honeoye Falls, New York",8140,71884,"#1,339"
148,10547,"41.308707, -73.855615","Mohegan Lake, New York",8544,71875,"#1,340"
149,11959,"40.827003, -72.602522","Quogue, New York",1015,71583,"#1,361"
150,10980,"41.258097, -74.030157","Stony Point, New York",12670,71451,"#1,371"
151,11719,"40.780748, -72.909617","Brookhaven, New York",2965,71316,"#1,386"
152,11001,"40.721416, -73.707982","Floral Park, New York",25511,71295,"#1,388"
153,10512,"41.447747, -73.709884","Carmel, New York",23924,71250,"#1,397"
154,11552,"40.692979, -73.652416","West Hempstead, New York",23309,71155,"#1,409"
155,11590,"40.756284, -73.570247","Westbury, New York",42507,71147,"#1,411"
156,10974,"41.154310, -74.200465","Sloatsburg, New York",3183,71106,"#1,417"
157,10901,"41.161496, -74.139021","Suffern, New York",21760,71051,"#1,424"
158,10918,"41.344192, -74.262177","Chester, New York",11492,71016,"#1,427"
159,11040,"40.744765, -73.680072","New Hyde Park, New York",39157,70959,"#1,432"
160,11738,"40.837386, -73.037968","Farmingville, New York",16811,70939,"#1,435"
