,MODZCTA,Positive,Total,zcta_cum.perc_pos,Zip Code,#,Location,City,Population,Avg. Income/H/hold,National Rank
91,11206.0,536,945,56.72,11206.0,1568,"40.702037, -73.942444","Brooklyn, New York",69032,18661,"#30,855"
92,11207.0,658,1087,60.53,11207.0,1527,"40.670361, -73.893848","Brooklyn, New York",86551,24163,"#28,725"
93,11208.0,713,1100,64.82,11208.0,1500,"40.669598, -73.871270","Brooklyn, New York",87165,27078,"#26,567"
94,11209.0,419,848,49.41,11209.0,643,"40.622352, -74.030431","Brooklyn, New York",69840,44518,"#8,642"
95,11210.0,663,1083,61.22,11210.0,699,"40.628049, -73.946278","Brooklyn, New York",62308,42967,"#9,570"
96,11211.0,948,1490,63.62,11211.0,1534,"40.713507, -73.952578","Brooklyn, New York",85089,23567,"#29,060"
97,11212.0,584,920,63.48,11212.0,1555,"40.662907, -73.912969","Brooklyn, New York",85161,20839,"#30,267"
98,11213.0,615,1002,61.38,11213.0,1513,"40.671034, -73.936357","Brooklyn, New York",65440,26366,"#27,211"
99,11214.0,493,933,52.84,11214.0,1239,"40.598668, -73.996212","Brooklyn, New York",83546,33765,"#18,811"
100,11215.0,265,619,42.81,11215.0,405,"40.662688, -73.986740","Brooklyn, New York",63001,53313,"#4,593"
101,11216.0,278,525,52.95,11216.0,1521,"40.680854, -73.949144","Brooklyn, New York",55775,25135,"#28,138"
102,11217.0,228,447,51.01,11217.0,493,"40.682306, -73.978099","Brooklyn, New York",35353,49567,"#6,101"
103,11218.0,703,1186,59.27,11218.0,1062,"40.643783, -73.975954","Brooklyn, New York",74611,36432,"#15,613"
104,11219.0,1314,1908,68.87,11219.0,1508,"40.632769, -73.996642","Brooklyn, New York",85987,26648,"#26,983"
105,11220.0,556,893,62.26,11220.0,1437,"40.641307, -74.016251","Brooklyn, New York",92718,30152,"#23,452"
106,11221.0,462,779,59.31,11221.0,1542,"40.691310, -73.927772","Brooklyn, New York",76363,22305,"#29,664"
107,11222.0,177,392,45.15,11222.0,1257,"40.728367, -73.945427","Brooklyn, New York",39360,33578,"#19,069"
108,11223.0,618,1118,55.28,11223.0,1320,"40.597427, -73.973039","Brooklyn, New York",77691,32104,"#20,837"
109,11224.0,296,534,55.43,11224.0,1551,"40.577257, -73.989762","Brooklyn, New York",51205,21281,"#30,108"
110,11225.0,450,716,62.85,11225.0,1436,"40.662236, -73.958951","Brooklyn, New York",63774,30192,"#23,403"
111,11226.0,639,1032,61.92,11226.0,1451,"40.646430, -73.956866","Brooklyn, New York",106154,29498,"#24,156"
112,11228.0,229,421,54.39,11228.0,629,"40.616863, -74.013196","Brooklyn, New York",41172,44932,"#8,418"
113,11229.0,565,1053,53.66,11229.0,973,"40.601293, -73.944493","Brooklyn, New York",80554,37812,"#14,105"
114,11230.0,1054,1670,63.11,11230.0,1313,"40.622104, -73.965118","Brooklyn, New York",88933,32327,"#20,516"
115,11231.0,191,394,48.48,11231.0,624,"40.677916, -74.005154","Brooklyn, New York",32974,45154,"#8,286"
116,11232.0,193,304,63.49,11232.0,1474,"40.655827, -74.006829","Brooklyn, New York",27723,28395,"#25,283"
117,11233.0,412,691,59.62,11233.0,1540,"40.678089, -73.919867","Brooklyn, New York",61955,22754,"#29,457"
118,11234.0,759,1287,58.97,11234.0,443,"40.612540, -73.894255","Brooklyn, New York",86898,51446,"#5,264"
119,11235.0,588,1111,52.93,11235.0,1390,"40.583552, -73.947900","Brooklyn, New York",77451,31013,"#22,300"
120,11236.0,871,1376,63.3,11236.0,728,"40.639761, -73.900640","Brooklyn, New York",96301,42370,"#9,991"
121,11237.0,320,485,65.98,11237.0,1538,"40.704160, -73.921139","Brooklyn, New York",48910,23104,"#29,310"
122,11238.0,339,611,55.48,11238.0,856,"40.678424, -73.963874","Brooklyn, New York",48965,39917,"#12,200"
123,11239.0,172,267,64.42,11239.0,1576,"40.644728, -73.879186","Brooklyn, New York",14620,16919,"#31,156"
124,11357.0,323,570,56.67,11357.0,370,"40.786415, -73.810924","Whitestone, New York",39491,54910,"#4,168"
125,11355.0,412,653,63.09,11355.0,1025,"40.750123, -73.820977","Flushing, New York",83281,36973,"#14,988"
126,11354.0,297,508,58.46,11354.0,1009,"40.768208, -73.827403","Flushing, New York",54329,37155,"#14,769"
127,11356.0,205,378,54.23,11356.0,521,"40.784810, -73.841165","College Point, New York",20444,48738,"#6,440"
128,11358.0,205,407,50.37,11358.0,450,"40.760467, -73.796418","Flushing, New York",38647,51242,"#5,380"
129,11360.0,118,265,44.53,11360.0,302,"40.782352, -73.780749","Bayside, New York",19350,58803,"#3,221"
130,11361.0,178,318,55.97,11361.0,363,"40.764370, -73.771869","Bayside, New York",29206,55250,"#4,084"
131,11362.0,124,257,48.25,11362.0,270,"40.758401, -73.733420","Little Neck, New York",17502,61053,"#2,759"
132,11363.0,52,114,45.61,11363.0,193,"40.772591, -73.746472","Little Neck, New York",6917,67550,"#1,801"
133,11364.0,196,360,54.44,11364.0,396,"40.745620, -73.757537","Oakland Gardens, New York",34539,54031,"#4,407"
134,11365.0,313,557,56.19,11365.0,464,"40.738856, -73.792528","Fresh Meadows, New York",41566,50744,"#5,583"
135,11366.0,196,314,62.42,11366.0,256,"40.727929, -73.793074","Fresh Meadows, New York",13366,62325,"#2,498"
136,11367.0,485,776,62.5,11367.0,617,"40.730621, -73.822860","Flushing, New York",38216,45285,"#8,214"
137,11368.0,1659,2132,77.81,11368.0,1172,"40.749407, -73.852780","Corona, New York",98841,34746,"#17,766"
138,11369.0,608,813,74.78,11369.0,855,"40.763513, -73.871961","East Elmhurst, New York",36110,39936,"#12,190"
139,11370.0,633,1089,58.13,11370.0,648,"40.765370, -73.893132","East Elmhurst, New York",43142,44429,"#8,688"
140,11372.0,916,1268,72.24,11372.0,899,"40.751706, -73.883561","Jackson Heights, New York",71308,39084,"#12,924"
141,11373.0,1142,1663,68.67,11373.0,945,"40.737347, -73.878716","Elmhurst, New York",105723,38151,"#13,766"
142,11374.0,523,876,59.7,11374.0,807,"40.726219, -73.861264","Rego Park, New York",44189,40998,"#11,164"
143,11375.0,744,1359,54.75,11375.0,446,"40.722975, -73.843179","Forest Hills, New York",70204,51350,"#5,312"
144,11377.0,736,1141,64.5,11377.0,992,"40.744813, -73.905122","Woodside, New York",88339,37360,"#14,527"
145,11378.0,263,463,56.8,11378.0,690,"40.724744, -73.909639","Maspeth, New York",34053,43107,"#9,479"
146,11379.0,317,576,55.03,11379.0,509,"40.715488, -73.879490","Middle Village, New York",28984,49083,"#6,279"
147,11385.0,767,1311,58.5,11385.0,1061,"40.700671, -73.889433","Ridgewood, New York",97524,36434,"#15,611"
148,11411.0,309,424,72.88,11411.0,257,"40.694307, -73.735948","Cambria Heights, New York",21282,62071,"#2,549"
149,11412.0,496,769,64.5,11412.0,528,"40.696878, -73.760260","Saint Albans, New York",37452,48536,"#6,508"
150,11413.0,528,815,64.79,11413.0,335,"40.669293, -73.750553","Springfield Gardens, New York",39827,56726,"#3,693"
151,11414.0,341,569,59.93,11414.0,451,"40.658217, -73.844820","Howard Beach, New York",28121,51175,"#5,407"
152,11415.0,231,389,59.38,11415.0,615,"40.708229, -73.827867","Kew Gardens, New York",20956,45344,"#8,179"
153,11416.0,233,358,65.08,11416.0,873,"40.684614, -73.849509","Ozone Park, New York",23668,39692,"#12,384"
154,11417.0,315,502,62.75,11417.0,705,"40.676342, -73.844595","Ozone Park, New York",28607,42889,"#9,620"
155,11418.0,386,616,62.66,11418.0,811,"40.700101, -73.835908","Richmond Hill, New York",36571,40924,"#11,235"
156,11419.0,386,615,62.76,11419.0,692,"40.688685, -73.822882","South Richmond Hill, New York",48867,43066,"#9,500"
157,11420.0,473,769,61.51,11420.0,543,"40.673525, -73.817771","South Ozone Park, New York",45498,47584,"#6,919"
158,11421.0,397,604,65.73,11421.0,642,"40.693633, -73.858513","Woodhaven, New York",37664,44550,"#8,621"
159,11422.0,417,652,63.96,11422.0,307,"40.632030, -73.766051","Rosedale, New York",30449,58396,"#3,293"
160,11423.0,336,511,65.75,11423.0,597,"40.717252, -73.768879","Hollis, New York",31240,46047,"#7,757"
161,11426.0,214,383,55.87,11426.0,312,"40.736619, -73.723610","Bellerose, New York",18727,58065,"#3,367"
162,11427.0,323,529,61.06,11427.0,447,"40.729722, -73.749800","Queens Village, New York",23014,51336,"#5,319"
163,11428.0,241,355,67.89,11428.0,364,"40.721050, -73.742212","Queens Village, New York",21023,55219,"#4,092"
164,11434.0,752,1139,66.02,11434.0,688,"40.676808, -73.776425","Jamaica, New York",59142,43133,"#9,448"
165,11432.0,590,911,64.76,11432.0,723,"40.715220, -73.793188","Jamaica, New York",57045,42414,"#9,954"
166,11433.0,308,481,64.03,11433.0,1338,"40.698135, -73.787009","Jamaica, New York",28435,31869,"#21,179"
167,11435.0,550,917,59.98,11435.0,846,"40.701408, -73.809817","Jamaica, New York",53877,40157,"#12,003"
168,11436.0,186,280,66.43,11436.0,844,"40.675266, -73.796570","Jamaica, New York",18148,40194,"#11,951"
169,11691.0,822,1226,67.05,11691.0,1486,"40.600774, -73.757824","Far Rockaway, New York",56184,27820,"#25,852"
170,11692.0,214,332,64.46,11692.0,1465,"40.593163, -73.793803","Arverne, New York",15893,29059,"#24,616"
171,11693.0,147,242,60.74,11693.0,1000,"40.611082, -73.822757","Far Rockaway, New York",11157,37248,"#14,668"
172,11694.0,267,457,58.42,11694.0,526,"40.576906, -73.846381","Rockaway Park, New York",19278,48604,"#6,481"
173,11697.0,44,93,47.31,11697.0,304,"40.555681, -73.920688","Breezy Point, New York",4226,58491,"#3,269"
